word	positive-emotion	negative-emotion	neutral-emotion	ambiguous-emotion				
dumbstruck	1.464269788	1.405637777	1.507049544	1.338938052	1.338938052	1.405637777	1	1
amazingly	1.267781915	1.383289418	1.384116048	1.123268831	1.123268831	1.267781915	1	1
surprisingly	1.193416717	1.254839515	1.257961947	1.076818186	1.076818186	1.193416717	1	1
stunned	1.198805931	1.037325998	1.361071906	0.865765395	0.865765395	1.037325998	1	1
surprise	1.286364371	1.236391131	1.379214834	1.049262016	1.049262016	1.236391131	1	1
flabbergasted	1.429566512	1.364455431	1.565091241	1.307291015	1.307291015	1.364455431	1	1
stupefied	1.468713679	1.35170782	1.442802031	1.382639938	1.35170782	1.382639938	0	1
astounded	1.161874723	1.235015662	1.384702776	0.945748068	0.945748068	1.161874723	1	1
stunning	1.14687673	1.245848622	1.350525955	0.92511783	0.92511783	1.14687673	1	1
startling	1.076087309	1.113960514	1.262863257	0.805233164	0.805233164	1.076087309	1	1
astonished	1.063094353	1.080990023	1.299306098	0.819507907	0.819507907	1.063094353	1	1
thunderstruck	1.297338199	1.308326458	1.525900448	1.212434581	1.212434581	1.297338199	1	1
startled	1.187869544	1.050184236	1.269822686	0.901290253	0.901290253	1.050184236	1	1
astonishing	1.13749379	1.279061262	1.310261239	0.917547428	0.917547428	1.13749379	1	1
pensively	1.368505794	1.445288731	1.463348449	1.371777761	1.368505794	1.371777761	0	1
thoughtful	0.925003018	1.120245952	1.104600635	1.092427891	0.925003018	1.092427891	0	1
brooding	1.151281299	1.137404285	1.199199589	1.202750577	1.137404285	1.151281299	0	0
agitate	1.496778068	1.433413355	1.456041873	1.577499388	1.433413355	1.456041873	0	0
distraught	1.242708991	0.959447643	1.307550364	1.154270058	0.959447643	1.154270058	0	1
psychedelic	1.419333841	1.483287388	1.487510848	1.389038366	1.389038366	1.419333841	1	1
aroused	1.216592549	1.075751657	1.253026879	1.141931037	1.075751657	1.141931037	0	1
frenetic	1.256129621	1.331392746	1.382157268	1.195924195	1.195924195	1.256129621	1	1
jolted	1.476774652	1.410528919	1.556397427	1.367047916	1.367047916	1.410528919	1	1
agitated	1.081378506	0.911220971	1.100721387	1.084086131	0.911220971	1.081378506	0	0
frenzied	1.110684523	0.989257749	1.221423518	0.979841433	0.979841433	0.989257749	1	1
feverish	1.18676329	1.101909017	1.185456374	1.18358259	1.101909017	1.18358259	0	1
shaken	1.23478856	1.052786472	1.337721682	1.067597606	1.052786472	1.067597606	0	1
hectic	1.278426385	1.320756135	1.354472611	1.300187103	1.278426385	1.300187103	0	1
frantic	1.138297292	1.035326625	1.279416889	1.012243795	1.012243795	1.035326625	1	1
overwrought	1.111905861	1.09064989	1.180297103	1.068834523	1.068834523	1.09064989	1	1
hysterical	1.158912805	0.885047324	1.14329051	1.026673635	0.885047324	1.026673635	0	1
