categ,word,vec1_distance,vec2_distance
hate,malevolently,6.3057280699,5.18525279587
hate,malevolence,5.6844096574,5.74409122004
hate,misogyny,11.2461582559,12.3913627978
hate,misanthropy,6.23886289688,5.29624971193
hate,misanthropic,6.97509251757,6.66273574326
hate,abhor,6.28009678438,5.19302021848
hate,abhorrence,5.977242157,5.81875188803
hate,aggressive,29.8071389254,32.2473587296
hate,inimical,6.66993327109,6.33558090223
hate,belligerently,6.18885722727,5.17819337772
hate,belligerent,16.6474192803,18.3975142492
hate,antagonistic,14.0063594348,16.7383949721
hate,opposing,26.6880552086,28.9801362596
hate,opponent,38.2105267724,40.1683896432
hate,dirty,30.5251779805,30.402088314
hate,hostility,28.7916377978,31.5063397622
hate,amok,12.9676911697,12.8834351763
hate,malevolent,16.8215209506,17.6802459368
hate,malicious,23.6041322447,25.5284054529
hate,malice,18.6179315005,19.0226005967
hate,maliciously,6.87276918821,6.66439528692
hate,vindictiveness,5.52863698321,4.88449189472
hate,malefic,6.39117429264,5.43319099859
hate,maleficent,11.0014305663,10.580195447
hate,maleficence,6.61386749728,5.96937689942
hate,belligerence,6.01439432221,6.58355992418
hate,resentfully,6.35277195123,5.26790101565
hate,acrimonious,16.4653665332,17.4544452651
hate,rancorous,5.66722343798,5.40939982697
hate,resentment,28.7016190877,30.8169972773
hate,resentful,9.65631632239,10.4355830143
hate,aggression,30.4967963815,33.4472835081
hate,antagonism,15.0371348638,17.6330137211
hate,animosity,22.9713937894,25.4842243038
hate,warpath,8.56258765981,7.97911003302
hate,sulk,6.33915857481,5.26459149247
hate,desirable,28.4343991657,29.1789327263
hate,enviable,8.81125674452,8.06073702816
hate,envy,16.0080821392,16.8096132014
hate,stew,22.3751648407,21.8879411386
hate,grudge,18.2674396819,19.5190711598
hate,avaricious,6.16106327304,6.2301433959
hate,covetousness,5.99725533844,5.5454550644
hate,acquisitive,6.35824193543,5.51210364864
hate,covet,6.57033263507,5.96693954156
hate,covetous,6.04757530724,5.04048278072
hate,wishful,11.2421009436,11.0607413856
hate,jealous,24.1547732645,25.5154134564
