categ,word,vec1_distance,vec2_distance
positive-emotion,uxorious,5.00587465862,5.41295913104
positive-emotion,loverly,5.06267748516,5.63931797713
positive-emotion,adorably,4.83507362919,5.24332298016
positive-emotion,enamored,11.6405843765,12.0197075046
positive-emotion,lovesome,5.04679439823,5.52366805864
positive-emotion,smitten,11.5914410913,11.6712537367
positive-emotion,idolatrous,8.32447663443,8.09137678038
positive-emotion,infatuated,16.306480468,16.3141725962
positive-emotion,love,36.0853634374,36.6098053713
positive-emotion,doting,5.5069908244,5.79016023815
positive-emotion,fondly,14.0338054616,14.6118439664
positive-emotion,romantic,31.4107881651,31.8836807598
positive-emotion,potty,7.72195598229,7.91911005606
positive-emotion,fond,29.1144865985,29.6990627182
positive-emotion,amorous,13.2313583147,13.3786569975
positive-emotion,attached,34.1705904049,34.6964293242
positive-emotion,charmed,19.659561269,19.8003968557
positive-emotion,thrilling,15.3423472138,15.8750535925
positive-emotion,intoxicating,10.7715389866,11.196184643
positive-emotion,warm,31.182790775,32.0829945848
positive-emotion,galvanic,15.954375727,16.0735975721
positive-emotion,wild,31.6753950856,31.8117973278
positive-emotion,breathless,9.14406761545,9.50302074596
positive-emotion,glamourous,5.04376497491,5.45601722546
positive-emotion,dotty,6.35686844653,6.43423640559
positive-emotion,tingling,11.3836987715,11.0184634113
positive-emotion,galvanising,5.30072319653,5.61474004497
positive-emotion,glamorous,16.1644999045,16.7018234875
positive-emotion,glowing,20.9639738473,21.4480189018
positive-emotion,breathtaking,8.60331279765,9.7484027308
positive-emotion,evangelistic,14.2618533065,14.9256902029
positive-emotion,ardent,25.7015816626,26.0252189289
positive-emotion,tickling,7.66298272079,7.47011117901
positive-emotion,evangelical,29.1643438428,29.6473059271
positive-emotion,galvanizing,7.23241660262,7.4290286717
positive-emotion,zealous,13.9965638853,13.4296415198
positive-emotion,crazy,29.0123041715,28.9427421674
positive-emotion,enthusiasm,30.2315056809,30.8713893775
positive-emotion,electric,34.574695723,35.1511224457
positive-emotion,electrifying,6.94751742431,7.79599051734
positive-emotion,heady,6.42846795305,6.94410846318
positive-emotion,gaga,23.4411878629,23.83575541
positive-emotion,emotional,32.9825847893,33.0286065399
positive-emotion,affect,39.8568126295,39.9298374443
positive-emotion,affection,29.9798021203,30.693099434
positive-emotion,affectional,5.14914455444,5.65019968251
positive-emotion,levity,4.97489365763,5.31541627722
positive-emotion,gratitude,27.6469607685,28.3757412446
positive-emotion,appreciatively,5.00374081759,5.34556154443
positive-emotion,glad,21.5911193256,21.8946166435
positive-emotion,grateful,30.9164075939,31.891811031
positive-emotion,appreciative,11.6475492194,12.8467612986
positive-emotion,liking,18.8056168527,19.3903632001
positive-emotion,liked,30.7104166203,31.3782693526
positive-emotion,likable,7.97133668487,8.64102414451
positive-emotion,like,29.5257119321,29.9486397334
positive-emotion,calmness,5.83240865123,6.76639387487
positive-emotion,calmly,11.295398968,10.7185654263
positive-emotion,reassuring,6.75394072216,7.20475109573
positive-emotion,calm,28.2365870456,28.475256319
positive-emotion,fearlessness,5.6683783652,5.89838441316
positive-emotion,unintimidated,4.88984980035,5.24463180044
positive-emotion,unblinking,5.12550282856,5.48763084782
positive-emotion,unafraid,4.99080083026,5.25485971616
positive-emotion,unflinching,5.87362613692,6.04227222219
positive-emotion,fearlessly,5.01040521395,5.22664245727
positive-emotion,joyful,14.1004562862,15.2421075653
positive-emotion,beatific,6.54242523044,7.02506036101
positive-emotion,gleefully,6.56548160481,6.14394241728
positive-emotion,overjoyed,8.94035997306,9.31195495649
positive-emotion,joy,28.828909866,29.6591314827
positive-emotion,gladden,9.5945554319,9.86143004829
positive-emotion,amatory,4.98251810902,5.4096950724
positive-emotion,worship,35.1056812698,35.8690138527
positive-emotion,devotion,29.8811513121,30.8735517264
positive-emotion,devoted,37.7361063729,38.5520139249
positive-emotion,dedicated,33.3423085243,34.5909160875
positive-emotion,loyalty,33.5626381471,33.8919990711
positive-emotion,benevolently,4.61211019805,5.00061363207
positive-emotion,benevolent,21.8532744688,22.2667137756
positive-emotion,benevolence,13.4656791873,14.2490819837
positive-emotion,gusto,6.89555917762,7.49705818454
positive-emotion,eagerness,8.57235242691,8.96874917631
positive-emotion,enthusiastic,31.1628427533,32.0197494929
positive-emotion,avid,36.6057784176,37.4060609523
positive-emotion,eagerly,15.3725290056,15.7158018216
positive-emotion,exuberance,7.92431875158,8.37893769579
positive-emotion,exuberantly,4.95628205288,5.58608261104
positive-emotion,frisson,4.81947773447,5.26951374245
positive-emotion,attachment,27.9738951087,28.4434563013
positive-emotion,regard,32.0095306515,32.3994561556
positive-emotion,compassionate,17.8351848238,18.1126786275
positive-emotion,caring,25.6748630693,26.0852677282
positive-emotion,protectively,5.39419246784,5.61655982943
positive-emotion,protectiveness,5.04239675057,5.43643447944
positive-emotion,hope,29.4506913345,30.0213497428
positive-emotion,hopefully,12.6006135511,13.3988636655
positive-emotion,expectant,6.83355113533,7.02050122306
positive-emotion,hopefulness,4.54133633962,5.22663933324
positive-emotion,hortative,5.05586446006,5.48720051166
positive-emotion,rallying,25.9960853979,25.765350795
positive-emotion,encourage,33.485801999,34.3623684396
positive-emotion,heartening,4.94846390063,5.3073619986
positive-emotion,encouragingly,4.98345947924,5.40056294896
positive-emotion,hortatory,5.24294641106,5.66387024515
positive-emotion,encouragement,23.1307732786,23.901667134
positive-emotion,pleased,28.1454707131,28.8754881648
positive-emotion,encouraging,28.1070378644,28.6374057248
positive-emotion,bullish,5.63797350383,5.99744804742
positive-emotion,optimistically,6.25994263344,6.43730161397
positive-emotion,rosy,15.3286241428,15.5102926172
positive-emotion,upbeat,18.2359693991,19.1059412967
positive-emotion,optimism,20.920697957,21.3602199961
positive-emotion,gratefulness,4.85028675106,5.40443942517
positive-emotion,ego,34.8243792068,34.5857609381
positive-emotion,preference,31.2217091182,31.7329446926
positive-emotion,friendliness,8.67665337204,9.92057412633
positive-emotion,amicable,17.7462442771,18.2913982232
positive-emotion,friendly,29.6016097353,30.3599983334
positive-emotion,estimable,5.1876771521,5.64671130764
positive-emotion,pleasing,19.4087483842,20.6446172051
positive-emotion,admirably,7.78884043936,8.84297895546
positive-emotion,admirable,15.8099791273,16.8022636027
positive-emotion,admiration,32.4678406005,33.2261975347
positive-emotion,admire,17.2524758321,18.1400695501
positive-emotion,capture,33.7184010798,33.2540998842
positive-emotion,attractive,31.0008705494,32.0342364902
positive-emotion,loving,24.8502661089,25.6959285189
positive-emotion,captivation,5.01676806263,5.46897222289
positive-emotion,beguiled,5.45648117956,5.49094563331
positive-emotion,enchanted,25.1190178276,25.7631945242
positive-emotion,bewitching,5.12944620206,5.54590493774
positive-emotion,captivated,10.9740130616,11.6289145735
positive-emotion,approval,37.7610690335,38.2319516667
positive-emotion,approve,29.7499679648,29.9858263382
positive-emotion,authorised,27.763618864,27.9603623568
positive-emotion,favourable,27.6954910254,28.2795335978
positive-emotion,approved,39.5999924927,40.1853013281
positive-emotion,approving,18.4056869655,18.6004642574
positive-emotion,authorized,34.7634975047,35.110284174
positive-emotion,fondness,21.0660023553,21.3579880643
positive-emotion,placid,20.7628304267,21.2765537218
positive-emotion,placidity,4.86482018772,5.24741343915
positive-emotion,placidly,5.09421556886,5.40804364297
positive-emotion,tranquillity,9.43709770623,9.61396993948
positive-emotion,tranquilly,5.11641041696,5.52932227693
positive-emotion,composed,36.2527405668,36.9278424444
positive-emotion,stylish,16.2987541312,17.2639405653
positive-emotion,cool,27.2158601677,28.0958092426
positive-emotion,cold,35.2354837117,34.9573446534
positive-emotion,unenthusiastic,9.00720689217,8.7169884175
positive-emotion,precooled,5.66228359185,6.07894480781
positive-emotion,unresponsive,9.72817610788,9.01708551322
positive-emotion,fashionable,29.5324982426,30.0413675622
positive-emotion,coolness,7.03155051465,7.47042980656
positive-emotion,caller,27.8993215392,28.069217601
positive-emotion,reassure,12.2069151074,12.2198052901
positive-emotion,soothing,7.53665824717,8.17954041124
positive-emotion,security,38.8812917804,38.8059028951
positive-emotion,consoling,5.17432003713,5.36649981262
