categ,word,x,y,r,theta
general-dislike,ave1,5.94091,2.68221e-07,5.94091,4.51481e-08
sadness,ave2,3.79999,3.72346,5.32015,0.775226
general-dislike,mad,8.14008,3.74864,8.96177,0.431565
general-dislike,anger,20.6057,0.672749,20.6167,0.0326371
general-dislike,angrily,12.6487,-1.1342,12.6994,-0.0894304
general-dislike,irate,3.59151,-0.254152,3.60049,-0.0706468
general-dislike,wroth,0.20513,0.514185,0.553592,1.1912
general-dislike,maddened,1.18558,0.468156,1.27466,0.37608
general-dislike,huffy,-0.0802307,0.0971119,0.125967,-0.880302
general-dislike,smoldering,0.735097,1.07576,1.30293,0.971348
general-dislike,smouldering,0.735331,0.243634,0.774641,0.319942
general-dislike,provoked,17.0545,-6.48723,18.2466,-0.363482
general-dislike,irascible,3.63314,0.946848,3.75449,0.254944
general-dislike,wrathful,2.7604,1.71749,3.25109,0.556576
general-dislike,incensed,8.20974,-1.61468,8.36702,-0.194199
general-dislike,angered,19.0021,-6.27465,20.0112,-0.318936
general-dislike,furious,13.8486,1.72569,13.9557,0.123972
general-dislike,enraged,18.7194,-0.10505,18.7197,-0.00561174
general-dislike,outraged,16.3238,-3.51396,16.6977,-0.212031
general-dislike,infuriated,12.6036,-2.64823,12.8789,-0.207104
general-dislike,sore,5.96599,4.48105,7.46143,0.644204
general-dislike,disliked,16.3855,-4.52286,16.9982,-0.269322
general-dislike,dislike,17.952,-3.94121,18.3796,-0.216113
general-dislike,detestable,2.08736,0.620254,2.17756,0.288838
general-dislike,hateful,5.33946,1.61628,5.57873,0.293936
general-dislike,execrable,1.76029,0.564978,1.84874,0.310571
general-dislike,hate,13.7174,0.941351,13.7496,0.0685174
general-dislike,abominable,4.41445,2.49064,5.0686,0.513681
general-dislike,odious,3.72994,1.03082,3.86976,0.269632
general-dislike,unlovable,0.346217,0.15155,0.377934,0.412605
general-dislike,fury,7.79825,3.10551,8.39386,0.378981
general-dislike,umbrage,1.48842,-0.124684,1.49363,-0.0835744
general-dislike,indignant,5.37692,0.206691,5.38089,0.0384215
general-dislike,indignantly,1.70094,0.0234123,1.7011,0.0137635
general-dislike,indignation,11.1233,0.461198,11.1328,0.0414387
general-dislike,exasperating,1.04505,0.233696,1.07086,0.220003
general-dislike,shock,7.62739,3.14188,8.24915,0.390741
general-dislike,displeasing,1.70999,0.420009,1.76082,0.240852
general-dislike,furiously,5.06922,1.83673,5.39171,0.347617
general-dislike,dander,0.667441,0.120472,0.678226,0.178575
general-dislike,disagreeable,4.55348,1.27056,4.72742,0.272109
general-dislike,annoyance,9.96439,-1.27361,10.0455,-0.127126
general-dislike,annoyed,14.0055,-2.59026,14.243,-0.18288
general-dislike,annoy,4.79523,-0.543991,4.82599,-0.112961
general-dislike,annoying,10.7735,0.923912,10.813,0.0855486
general-dislike,disgusted,13.1996,1.38963,13.2725,0.104892
general-dislike,displeased,9.45985,-0.754066,9.48986,-0.079544
general-dislike,disgustingly,0.327127,0.125632,0.350422,0.366679
general-dislike,disgusting,9.34231,1.79953,9.51404,0.190291
general-dislike,disgustedly,0.28469,0.00353274,0.284712,0.0124085
general-dislike,reluctant,14.2975,-3.68553,14.7648,-0.252283
general-dislike,disinclination,1.05637,-0.188824,1.07312,-0.17688
general-dislike,averse,5.45814,-0.738459,5.50786,-0.134479
general-dislike,indisposed,0.577527,0.0302602,0.578319,0.0523483
general-dislike,loth,0.428829,0.269732,0.506606,0.561467
general-dislike,disinclined,1.56216,-0.214237,1.57679,-0.136291
general-dislike,antipathetic,0.741888,-0.0551973,0.743938,-0.0742644
general-dislike,loath,2.35978,-0.252703,2.37327,-0.106681
general-dislike,antipathy,9.44056,-2.13002,9.67787,-0.221909
general-dislike,contempt,16.6589,-0.160721,16.6597,-0.00964744
general-dislike,estrange,0.820884,-0.374493,0.902272,-0.428004
general-dislike,alienation,11.6003,4.34023,12.3857,0.358022
general-dislike,alienated,15.7087,-3.88049,16.1809,-0.242179
general-dislike,unoriented,-0.135859,-0.189376,0.233069,0.948486
general-dislike,unloved,0.975907,1.24256,1.57998,0.905021
general-dislike,hostile,17.6661,-6.80211,18.9304,-0.367541
