categ,word,x,y,r,theta
hate,ave1,6.37999,-8.9407e-08,6.37999,-1.40137e-08
sadness,ave2,3.10731,4.31841,5.32015,0.947069
hate,malevolently,0.22153,0.222895,0.314257,0.78847
hate,malevolence,3.2225,0.927433,3.3533,0.280227
hate,misogyny,7.11066,0.818791,7.15764,0.114645
hate,misanthropy,2.29394,1.56164,2.77504,0.5977
hate,misanthropic,3.59193,1.7796,4.00861,0.459996
hate,abhor,1.05485,0.807736,1.32859,0.653497
hate,abhorrence,2.51941,0.690038,2.6122,0.267333
hate,aggressive,19.5255,-4.17118,19.966,-0.210464
hate,inimical,1.92789,0.528775,1.99909,0.267693
hate,belligerently,0.355261,0.16364,0.391137,0.431649
hate,belligerent,8.8799,-1.80739,9.06197,-0.200795
hate,antagonistic,11.0996,-2.74929,11.435,-0.242806
hate,opposing,12.6409,-6.62945,14.2738,-0.483013
hate,opponent,14.8149,-7.9759,16.8255,-0.493869
hate,dirty,7.59756,5.19034,9.20123,0.599334
hate,hostility,21.5994,-4.0195,21.9702,-0.183989
hate,amok,3.55274,1.50887,3.85988,0.401621
hate,malevolent,9.59606,2.4062,9.89314,0.245683
hate,malicious,13.5221,-2.13474,13.6896,-0.156578
hate,malice,10.3658,4.65629,11.3636,0.422187
hate,maliciously,1.68573,0.168377,1.69412,0.0995534
hate,vindictiveness,1.65499,0.595102,1.75873,0.345185
hate,malefic,0.314025,0.11378,0.334002,0.347616
hate,maleficent,2.38177,1.42185,2.7739,0.538189
hate,maleficence,0.547426,-0.0819019,0.553518,-0.148511
hate,belligerence,2.52838,-0.349828,2.55247,-0.137488
hate,resentfully,0.199979,0.175483,0.266057,0.720248
hate,acrimonious,5.5177,-1.13865,5.63396,-0.203507
hate,rancorous,1.38145,-0.0581664,1.38267,-0.0420806
hate,resentment,20.1915,-0.711392,20.204,-0.0352177
hate,resentful,7.02363,2.07425,7.32351,0.287162
hate,aggression,20.0784,-8.06385,21.6372,-0.3819
hate,antagonism,10.6687,-3.1699,11.1296,-0.288815
hate,animosity,16.3194,-3.16609,16.6237,-0.191627
hate,warpath,1.27439,0.647552,1.42947,0.470129
hate,sulk,0.47274,0.366224,0.598,0.659113
hate,desirable,6.70129,-1.32375,6.83078,-0.195026
hate,enviable,0.65729,0.528518,0.843422,0.677228
hate,envy,11.6094,4.31675,12.386,0.355991
hate,stew,1.83037,2.44838,3.05693,0.928843
hate,grudge,9.63474,0.389933,9.64263,0.0404495
hate,avaricious,3.23705,0.918323,3.36479,0.276429
hate,covetousness,1.99304,0.67848,2.10536,0.328119
hate,acquisitive,0.795043,0.329699,0.860695,0.393108
hate,covet,0.881994,0.108561,0.88865,0.12247
hate,covetous,1.49576,0.990728,1.79411,0.585013
hate,wishful,3.01778,1.31958,3.29367,0.412218
hate,jealous,17.5044,4.0048,17.9566,0.224918
hate,desirous,2.08924,1.18425,2.40153,0.515674
hate,jealously,2.64162,-0.101098,2.64355,-0.0382525
hate,enviously,0.131647,0.108802,0.170789,0.690673
hate,jealousy,19.8064,3.50041,20.1133,0.174925
sadness,depress,0.995645,0.213697,1.01832,0.211424
sadness,depression,4.28795,9.90985,10.7978,1.16243
sadness,miserable,6.07499,11.8363,13.3042,1.0966
sadness,hapless,3.05686,3.43553,4.59861,0.843657
sadness,misery,8.12645,13.1904,15.4928,1.01863
sadness,unhappy,10.0774,8.63006,13.2677,0.708184
sadness,miserably,1.51168,1.51813,2.14241,0.787527
sadness,inhospitable,2.16881,3.03682,3.73176,0.950624
sadness,bare,2.98995,8.5094,9.01941,1.2329
sadness,forlornly,0.00119193,0.147567,0.147572,1.56272
sadness,forlorn,1.73383,2.73258,3.23623,1.00539
sadness,strict,7.02067,2.52305,7.46027,0.345002
sadness,dysphoric,0.327416,0.283208,0.432906,0.713126
sadness,dysphoria,1.69252,1.21454,2.0832,0.622438
sadness,despondency,1.51686,1.40884,2.07019,0.748493
sadness,despondent,3.26703,5.31834,6.24165,1.01993
sadness,despairingly,0.196139,0.371027,0.419681,1.0845
sadness,hopeless,7.06955,8.75632,11.254,0.89158
sadness,demoralizing,1.72535,0.902992,1.94736,0.482166
sadness,demoralization,1.49775,0.130338,1.50341,0.086804
sadness,burdened,3.18114,3.46011,4.70021,0.827379
sadness,persecute,2.6738,0.239035,2.68446,0.089162
sadness,oppressively,0.636458,0.659176,0.916292,0.80293
sadness,oppressive,12.704,3.53283,13.1861,0.271234
sadness,unfortunate,8.80337,8.19062,12.0244,0.749357
