categ,word,x,y,r,theta
liking,ave1,7.80168,-4.47035e-08,7.80168,-5.72998e-09
love,ave2,3.43746,8.64372,9.30215,1.19229
liking,fondness,8.3767,2.36629,8.70451,0.275311
liking,friendly,12.4737,-0.14468,12.4745,-0.0115983
liking,amicable,6.34366,-0.691559,6.38125,-0.108587
liking,friendliness,4.99128,1.19497,5.13233,0.234988
liking,pleasing,10.371,1.68166,10.5064,0.160752
liking,admire,7.43841,5.02438,8.97632,0.594069
liking,estimable,0.207124,0.0672843,0.217779,0.314097
liking,admiration,16.9276,7.17821,18.3867,0.401069
liking,admirable,8.47114,2.50716,8.83436,0.287751
liking,admirably,2.10151,0.588133,2.18226,0.27288
liking,captivation,-0.0167338,0.062898,0.0650859,-1.31077
liking,loving,7.95656,7.70327,11.0746,0.769225
liking,capture,2.66709,-3.10923,4.09642,-0.861793
liking,enchanted,3.12967,1.0184,3.2912,0.314596
liking,beguiled,0.416055,0.317996,0.523663,0.652599
liking,bewitching,0.783538,0.246079,0.821272,0.304307
liking,attractive,15.2046,-1.99306,15.3347,-0.13034
liking,captivated,3.65111,1.85836,4.09684,0.470809
liking,approval,18.3041,-7.58688,19.8141,-0.392936
liking,approve,13.9658,-2.75973,14.2359,-0.195092
liking,approving,9.18842,-2.22802,9.45469,-0.23789
liking,authorised,7.06933,-1.07161,7.15009,-0.15044
liking,favourable,15.7702,-2.86878,16.029,-0.179944
liking,approved,15.0575,-8.51805,17.2999,-0.514817
liking,authorized,9.70388,-1.23517,9.78217,-0.126606
liking,preference,12.8205,-0.112959,12.821,-0.00881057
liking,brotherly,3.16133,3.56422,4.7642,0.845231
liking,brotherhood,2.25272,5.61109,6.04641,1.18902
liking,favorable,16.9129,-5.3486,17.7384,-0.306292
liking,amicably,1.37336,-0.958795,1.67494,-0.609474
liking,unthreatening,0.296191,0.201264,0.358101,0.596839
liking,favor,11.4777,-2.32781,11.7113,-0.200098
liking,favorably,9.4131,-2.45539,9.72807,-0.255162
liking,affirmative,8.87616,-2.16991,9.13755,-0.239763
liking,indulgent,6.281,3.15179,7.02743,0.465085
liking,weakness,7.44232,1.23676,7.54438,0.164675
love,devoted,4.37222,23.8096,24.2077,1.38919
love,devotion,11.0507,22.2554,24.848,1.10992
love,dedicated,0.278798,20.7944,20.7963,1.55739
love,worship,3.87762,20.2944,20.6616,1.382
love,loyalty,15.2925,16.4575,22.4658,0.822074
love,amatory,0.294151,0.149951,0.330166,0.471438
love,benevolent,6.61395,11.0468,12.8754,1.03132
love,benevolence,5.42625,8.18553,9.82075,0.985401
love,benevolently,0.821038,0.527864,0.976085,0.571384
love,warmhearted,0.339342,0.527034,0.626831,0.998741
love,benefic,0.120499,0.169463,0.207937,0.952683
love,beneficed,-0.0385956,0.0581161,0.0697646,-0.984564
love,beneficence,1.31225,2.75253,3.04933,1.12593
love,beneficent,1.62208,2.61676,3.07873,1.01589
love,beneficially,0.179118,0.0103371,0.179416,0.0576469
