word,positive-emotion,negative-emotion,neutral-emotion,ambiguous-emotion
casual,1.22251694057,1.32543068653,1.13505243954,1.32903936163
blase,1.53438977519,1.52208016743,1.57923388393,1.54050835113
nonchalant,1.17541611034,1.12749913603,1.23071971748,1.11537191294
uninvolved,1.34726905854,1.15952100148,1.13928304058,1.34624967902
blithe,1.24571216747,1.37033288049,1.43286134623,1.31798219084
unconcern,1.46142074474,1.44607569633,1.43492545037,1.46527643352
detached,1.52949840849,1.49362451453,1.16433179228,1.57334391055
insouciant,1.35052934964,1.29734807693,1.34742505213,1.40201232372
unconcerned,1.13099167859,1.05092599855,1.07265971038,1.16566409921
apathy,1.21072700296,0.952314549585,0.972017984151,1.25592241452
spiritless,1.21187134199,1.26913332273,1.30740167888,1.29748972539
apathetically,1.46202526344,1.37243223894,1.51800275438,1.42403331093
indifferently,1.32410564323,1.29479398927,1.28561669913,1.31393447289
indifferent,0.936154828635,0.930280423591,0.772272148325,1.13583856335
impartial,1.22774094366,1.31647158161,1.09079182901,1.4011511008
uninterested,1.1240236391,1.12208166032,1.08504174204,1.24139665132
indifference,1.08967330107,1.01901371158,0.891547391356,1.18664070677
apathetic,1.03917383266,0.892303692512,0.979915474751,1.1380915188
languor,1.10414997679,1.20997891851,1.21073356342,1.22005763333
dreamy,1.00596896012,1.15619773153,1.21311273027,1.07065853245
lethargic,1.10001572943,0.931625007905,1.07305773082,1.13073778964
emotionless,1.17118293611,1.14650252293,1.24614632956,1.16126275251
withdrawal,1.58256376836,1.45632840394,1.21633434949,1.63480854406
distance,1.61062406541,1.65856447255,1.24508391406,1.60030636504
