categ,word,x,y,r,theta
positive-emotion,ave1,5.01735,1.49012e-07,5.01735,2.96993e-08
negative-emotion,ave2,3.90548,3.74476,5.41073,0.764392
positive-emotion,uxorious,0.137266,0.0221784,0.139046,0.160188
positive-emotion,loverly,0.44498,-0.144132,0.46774,-0.313243
positive-emotion,adorably,0.331695,0.0968434,0.345543,0.28407
positive-emotion,enamored,6.17206,1.18259,6.28433,0.18931
positive-emotion,lovesome,0.163951,-0.0766382,0.180979,-0.437266
positive-emotion,smitten,6.21562,2.14532,6.57544,0.332348
positive-emotion,idolatrous,1.47717,1.49724,2.10327,0.792144
positive-emotion,infatuated,7.94064,2.8719,8.44403,0.347034
positive-emotion,love,16.6631,0.404846,16.668,0.0242912
positive-emotion,doting,1.42916,0.544932,1.52953,0.364278
positive-emotion,fondly,4.6227,-0.290597,4.63182,-0.0627805
positive-emotion,romantic,13.1617,0.459138,13.1697,0.0348704
positive-emotion,potty,1.65257,0.626661,1.7674,0.362451
positive-emotion,fond,15.8494,0.663057,15.8632,0.0418106
positive-emotion,amorous,6.45919,1.9422,6.74487,0.292087
positive-emotion,attached,3.32575,-3.29997,4.68513,-0.781506
positive-emotion,charmed,6.22994,1.65546,6.44614,0.259724
positive-emotion,thrilling,5.91328,0.0830572,5.91386,0.014045
positive-emotion,intoxicating,3.13027,0.231603,3.13882,0.0738535
positive-emotion,warm,11.4659,-3.65213,12.0335,-0.30836
positive-emotion,galvanic,-0.310358,-0.0542594,0.315065,0.173079
positive-emotion,wild,4.6977,0.786278,4.76305,0.165838
positive-emotion,breathless,3.26615,0.623782,3.32518,0.188711
positive-emotion,glamourous,0.152479,0.0150506,0.15322,0.0983874
positive-emotion,dotty,0.79782,0.652476,1.03065,0.685515
positive-emotion,tingling,2.22295,2.30022,3.19883,0.80248
positive-emotion,galvanising,0.132233,0.12933,0.184964,0.774301
positive-emotion,glamorous,7.89557,0.534079,7.91361,0.06754
positive-emotion,glowing,7.38955,0.000704557,7.38955,9.5345e-05
positive-emotion,breathtaking,4.59442,-0.893968,4.68059,-0.192176
positive-emotion,evangelistic,1.45077,-1.60857,2.16616,-0.836934
positive-emotion,ardent,10.4401,1.4123,10.5352,0.13446
positive-emotion,tickling,2.63051,1.71847,3.14209,0.578681
positive-emotion,evangelical,1.92477,-2.67326,3.2941,-0.946766
positive-emotion,galvanizing,0.182969,0.217166,0.283969,0.870655
positive-emotion,zealous,4.98161,4.10287,6.45368,0.688968
positive-emotion,crazy,6.91115,3.13802,7.5902,0.426218
positive-emotion,enthusiasm,14.3974,-0.397969,14.4029,-0.0276347
positive-emotion,electric,-1.87525,-5.37547,5.69318,1.23514
positive-emotion,electrifying,2.20932,-0.466563,2.25804,-0.208122
positive-emotion,heady,1.82308,0.168343,1.83084,0.0920788
positive-emotion,gaga,3.14198,-1.01006,3.30034,-0.311037
positive-emotion,emotional,17.2889,5.27539,18.0758,0.296158
positive-emotion,affect,4.24242,1.02941,4.36552,0.238047
positive-emotion,affection,19.3303,0.50869,19.337,0.0263096
positive-emotion,affectional,0.563897,-0.00733046,0.563945,-0.0129989
positive-emotion,levity,2.20442,0.734383,2.32353,0.321577
positive-emotion,gratitude,12.6622,-1.14408,12.7138,-0.0901094
positive-emotion,appreciatively,0.276366,0.157442,0.318066,0.517833
positive-emotion,glad,10.2898,1.84072,10.4531,0.177016
positive-emotion,grateful,8.65405,-5.06266,10.0261,-0.529321
positive-emotion,appreciative,6.44599,-1.46038,6.60935,-0.222795
positive-emotion,liking,9.55949,0.4039,9.56802,0.042226
positive-emotion,liked,14.4127,-0.70951,14.4302,-0.0491884
positive-emotion,likable,5.46333,0.684439,5.50604,0.124629
positive-emotion,like,12.3793,0.86483,12.4095,0.0697475
positive-emotion,calmness,4.45328,0.298819,4.46329,0.0670004
positive-emotion,calmly,4.7254,3.64625,5.96863,0.657199
positive-emotion,reassuring,4.62177,1.07978,4.74622,0.229513
positive-emotion,calm,17.1888,3.84406,17.6134,0.220017
positive-emotion,fearlessness,2.95949,1.07122,3.1474,0.34729
positive-emotion,unintimidated,0.208408,0.12953,0.245381,0.556096
positive-emotion,unblinking,0.174884,0.0864929,0.195104,0.459297
positive-emotion,unafraid,2.6647,0.977679,2.8384,0.35165
positive-emotion,unflinching,1.88597,0.839378,2.06433,0.418742
positive-emotion,fearlessly,1.47911,0.691331,1.6327,0.437225
positive-emotion,joyful,9.38392,-1.13885,9.45278,-0.120771
positive-emotion,beatific,1.61098,0.15174,1.61811,0.093914
positive-emotion,gleefully,2.71055,2.06786,3.40927,0.651702
positive-emotion,overjoyed,4.40345,0.949574,4.50468,0.212391
positive-emotion,joy,12.5696,-2.20366,12.7613,-0.173552
positive-emotion,gladden,0.124138,-0.108692,0.164998,-0.719153
positive-emotion,amatory,0.562843,0.122105,0.575936,0.213633
positive-emotion,worship,5.54716,-5.03901,7.49417,-0.737433
