word	positive-emotion	negative-emotion	neutral-emotion	ambiguous-emotion	r			10	
surprisingly	1.193416717	1.254839515	1.257961947	1.076818186	22.08000425	1.076818186	1	1	1
dumbstruck	1.464269788	1.405637777	1.507049544	1.338938052	1.352667326	1.338938052	1	0	0
electricity	1.640213377	1.688841468	1.590263473	1.6325052	37.53385419	1.590263473	0	1	0
amazing	1.306413478	1.487967337	1.569066836	1.099764167	28.19848877	1.099764167	1	1	1
screaming	1.343404659	1.165125662	1.476379071	1.154015112	28.87646135	1.154015112	1	1	1
aroused	1.216592549	1.075751657	1.253026879	1.141931037	27.91254589	1.075751657	0	1	0
astonishment	1.079343824	1.073595871	1.25371843	0.955029552	11.95146666	0.955029552	1	1	1
stunning	1.14687673	1.245848622	1.350525955	0.92511783	19.88548267	0.92511783	1	1	1
tumult	1.307299572	1.119204231	1.346448532	1.231898612	8.557605095	1.119204231	0	0	0
startling	1.076087309	1.113960514	1.262863257	0.805233164	14.76527303	0.805233164	1	1	1
expectantly	1.46819114	1.403809921	1.522825151	1.456543979	2.074459053	1.403809921	0	0	0
distraught	1.242708991	0.959447643	1.307550364	1.154270058	19.45726408	0.959447643	0	1	0
stunned	1.198805931	1.037325998	1.361071906	0.865765395	19.18602597	0.865765395	1	1	1
reverential	1.21251041	1.393769265	1.323144634	1.303919599	4.442114727	1.21251041	0	0	0
jolted	1.476774652	1.410528919	1.556397427	1.367047916	3.10029933	1.367047916	1	0	0
frenzied	1.110684523	0.989257749	1.221423518	0.979841433	10.01935613	0.979841433	1	1	1
surprising	1.131568409	1.197960007	1.271935156	0.906173094	24.93162337	0.906173094	1	1	1
thoughtful	0.925003018	1.120245952	1.104600635	1.092427891	17.15743211	0.925003018	0	1	0
psychedelic	1.419333841	1.483287388	1.487510848	1.389038366	31.40289482	1.389038366	1	1	1
overawed	1.320305055	1.287408249	1.419034696	1.268525621	2.451706832	1.268525621	1	0	0
stun	1.525124047	1.37061596	1.54538519	1.345797497	16.50919784	1.345797497	1	1	1
amazingly	1.267781915	1.383289418	1.384116048	1.123268831	7.522141524	1.123268831	1	0	0
thunderstruck	1.297338199	1.308326458	1.525900448	1.212434581	2.905130222	1.212434581	1	0	0
reverentially	1.387638217	1.377487058	1.511615342	1.391142162	2.605247971	1.377487058	0	0	0
amazed	1.05132977	1.118149239	1.319000734	0.780766072	17.00264214	0.780766072	1	1	1
seriously	1.436600496	1.299877722	1.365641788	1.349557938	32.60792233	1.299877722	0	1	0
extraordinary	1.195223236	1.339519398	1.348792679	1.087863329	28.41726681	1.087863329	1	1	1
astounded	1.161874723	1.235015662	1.384702776	0.945748068	8.134027053	0.945748068	1	0	0
agitation	1.394525765	1.245938136	1.250718504	1.450770858	23.65602178	1.245938136	0	1	0
stimulate	1.404043756	1.521495807	1.496300041	1.530697565	27.65063757	1.404043756	0	1	0
fever	1.515715049	1.408043074	1.544246076	1.427179818	35.40281314	1.408043074	0	1	0
overwrought	1.111905861	1.09064989	1.180297103	1.068834523	4.768081308	1.068834523	1	0	0
awful	1.06365126	1.044220594	1.292582111	0.932183213	22.06044981	0.932183213	1	1	1
fantastic	1.414349427	1.415942713	1.56367572	1.159217534	33.42338483	1.159217534	1	1	1
wonder	1.3407401	1.413134075	1.58357229	1.151452429	31.15664005	1.151452429	1	1	1
reverent	1.161146022	1.284234745	1.343681252	1.287196638	4.884489286	1.161146022	0	0	0
hysterical	1.158912805	0.885047324	1.14329051	1.026673635	13.74094777	0.885047324	0	1	0
perplex	1.351893181	1.376844631	1.466647654	1.379334497	2.442184182	1.351893181	0	0	0
reverence	1.103300196	1.249890111	1.321926928	1.31784728	23.75559114	1.103300196	0	1	0
confused	1.425852273	1.418789309	1.455371336	1.340305664	53.87649128	1.340305664	1	1	1
awe	1.123421161	1.209760895	1.312394766	0.992494899	19.37733408	0.992494899	1	1	1
agitate	1.496778068	1.433413355	1.456041873	1.577499388	8.307168146	1.433413355	0	0	0
gravity	1.534033025	1.559316309	1.487577361	1.489027826	35.43451644	1.487577361	0	1	0
feverish	1.18676329	1.101909017	1.185456374	1.18358259	5.599527402	1.101909017	0	0	0
