word,positive-emotion,negative-emotion,neutral-emotion,ambiguous-emotion,r
panic,1.49522616035,1.19658527938,1.43255047753,1.32275069238,32.0277190988
infuriating,1.19545985374,1.12001916816,1.29142367639,1.15663964506,5.31676805993
pessimism,1.10312186386,1.07770990613,1.09570759938,1.19402711437,16.4322141187
intimidating,1.0962273757,0.964085293807,1.12198425727,1.13355415499,15.8456491575
roiled,1.48135686142,1.38015404106,1.4499332734,1.48955849253,1.69957343879
haunted,1.39662384454,1.29768640474,1.51353323926,1.27488847736,33.4713494672
numb,1.46895153196,1.41391543175,1.53549940966,1.40885391958,16.3416361389
embarrass,1.33804654624,1.19961504472,1.41014397481,1.29794589879,11.5062713929
repent,1.25345847514,1.15857790535,1.3589187726,1.35899810346,17.1934628821
abjectly,1.37355028593,1.35631273795,1.37785787089,1.37965446328,1.28701292644
compassion,1.02265569317,1.14394961841,1.23719471517,1.30498046683,29.4458047117
grieve,1.40512839373,1.33895934932,1.46622279378,1.3971090362,10.3887698299
dishonourable,1.28729840575,1.06523112569,1.21229611705,1.3056169204,4.88019287956
hopelessly,1.20426717411,1.02292258626,1.18950285001,1.15148522274,13.2887384424
dismayed,1.15342259336,1.00072799913,1.24993306572,1.05044464755,16.3706527313
barbarous,1.25318886278,1.1245302118,1.3339813975,1.23792759252,12.4811139197
despairing,1.0956834499,0.954912599996,1.17985510578,1.15894676819,6.88807177438
antagonism,1.35057903897,1.19834275084,1.19262014014,1.45303585645,17.9316183579
bored,1.15222590708,1.09476242589,1.24668528846,1.16257509014,21.2769556261
merciful,1.09356993037,1.15235787466,1.34559366854,1.26550957986,15.3246518855
gloomy,1.02258300172,0.9582396184,1.14613707943,1.00835403524,16.998152332
inhospitable,1.38830639453,1.32224998951,1.31707739809,1.42597563423,13.6134291286
execrable,1.32099357924,1.14155854272,1.42298895191,1.24639796757,4.24711122332
averse,1.12973564469,1.12539777745,1.13309472805,1.29279765535,12.5379917207
preoccupied,1.15217043158,1.09612888195,1.22019312909,1.24086982188,20.8363713084
daze,1.39674880003,1.44387838826,1.60022245418,1.41082271232,11.2315782359
grim,1.23346024426,1.09020242883,1.34038762596,1.20345871823,23.3649074038
foreboding,1.1530698081,1.10623679366,1.29925764339,1.10029693184,6.92668358512
unfriendly,1.11592507233,1.02293316858,1.05414110647,1.18922366463,10.7134109061
annoyance,1.16097731763,1.0363094482,1.15039828199,1.13750356266,18.1532852711
sulk,1.3725216096,1.30052664341,1.44999185098,1.3090482788,2.34793664764
fidget,1.29438944004,1.25340212869,1.43086786711,1.30499709704,4.57406125756
enviously,1.37082099561,1.39039779729,1.43545103744,1.35236598759,1.24687122915
harassment,1.57685607108,1.30806342193,1.37669085065,1.5927760638,30.1542187554
mournful,1.08513640658,1.08611325672,1.24901690466,1.10003713154,10.013047178
reluctant,1.22009427429,1.14326981061,1.26488569094,1.3391009067,33.9005019631
impatience,0.949292181114,0.828911701637,0.998279230051,1.04589600476,10.607886719
plaintively,1.37163727715,1.33170349064,1.45104416803,1.37234221554,1.49999903718
disgusting,1.099790286,0.907334730139,1.19995623181,1.01300042292,15.3790001049
pained,1.10896411652,1.04279548522,1.2370508935,1.09674568403,4.28851445104
humiliatingly,1.51477504405,1.38581567811,1.48095319946,1.49082448377,1.97586848736
angered,1.29049712195,0.98645815945,1.32244850001,1.18227547466,29.7910458941
sorrowful,1.02452071304,1.06630822438,1.34415408535,1.09893174983,8.8766763502
horrified,1.13336390909,0.899737646866,1.29365482155,0.968698105827,22.566062949
disapproving,1.1520935281,1.0096621146,1.18310499951,1.18437997484,7.82789757443
gloomily,1.31251863305,1.33418764227,1.43704785527,1.34935575653,1.86576927353
sinking,1.60538364113,1.43281916758,1.5078752589,1.48784004559,33.1209268587
sombre,1.08098990702,1.16383757517,1.24349840503,1.13488258082,10.2227023273
provoked,1.40461565253,1.1265239161,1.32674312563,1.26473019393,32.7127535241
torment,1.19732609984,0.996571504838,1.34657218176,1.17781885224,18.4283460459
irascibility,1.27888291709,1.18355685988,1.35273674187,1.26563723383,2.24453549203
dander,1.39494608464,1.41159015789,1.46646113865,1.45706957931,4.13934624863
disgustedly,1.45788446981,1.33706775773,1.45912091617,1.42346128039,1.22395114694
abhorrence,1.15658106008,1.09683979121,1.19558954812,1.27528250128,5.21255658299
terrified,1.18840417348,0.890993166752,1.32632962955,0.97362330767,19.4432849515
alarmed,1.28762235282,1.06442918959,1.28101054114,1.15149513054,25.5101758174
upsetting,1.17463916233,0.97478999261,1.22049084659,1.15112931917,10.4305860525
shyness,1.13335399236,1.06170962549,1.06811593722,1.24582300717,14.3063151839
insecure,1.16043299205,1.04792521012,1.10591545285,1.28958517665,19.9097736473
incensed,1.28244823109,0.986831413751,1.27638158089,1.15031898794,13.450665251
timidity,1.104260591,1.01701176785,1.07173763644,1.16802304984,5.20790200407
miffed,1.43861548538,1.38745096722,1.48939557206,1.40652045397,1.84631454849
covetousness,1.29984694292,1.18550728411,1.3842227476,1.39921519797,4.54905990049
irascible,1.05433283595,0.978436003471,1.08633525209,1.16696905832,6.64217906082
depression,1.5287450431,1.39071160406,1.40606098102,1.55425622476,41.9285027669
commiseration,1.31133431357,1.28650431582,1.34450723975,1.30448011696,1.26037052467
