categ	word	vec1_distance	vec2_distance				GD	102	179	0.569832402
sadness	sorrowful	8.757280518	6.666043497	-2.091237021	sadness	1	SADNESS	13	114	0.114035088
sadness	mournful	9.795811005	7.73789577	-2.057915235	sadness	1	TOTAL	115	293	0.392491468
sadness	sorrow	25.30411699	23.42688589	-1.877231098	sadness	1				
sadness	somber	12.19154697	10.39567868	-1.795868292	sadness	1				
sadness	sombre	10.36373129	8.603906082	-1.759825206	sadness	1				
sadness	melancholy	22.50445688	20.78005092	-1.724405956	sadness	1				
sadness	weeping	19.2211648	17.65358382	-1.567580987	sadness	1				
sadness	woe	12.00436742	10.461108	-1.543259413	sadness	1				
sadness	elegiac	13.63360765	12.09429099	-1.539316656	sadness	1				
sadness	plaintive	8.142235023	6.657401381	-1.484833643	sadness	1				
sadness	sad	25.65539351	24.17242315	-1.482970365	sadness	1				
sadness	gloom	11.38505354	9.925465117	-1.459588427	sadness	1				
sadness	gloomy	15.35466413	13.91903067	-1.43563346	sadness	1				
sadness	dreary	8.06660749	6.633425628	-1.433181863	sadness	1				
sadness	misery	20.21529859	18.79192431	-1.42337428	sadness	1				
sadness	wailing	11.22862265	9.817974846	-1.410647806	sadness	1				
sadness	penitent	11.56809378	10.21415953	-1.353934252	sadness	1				
sadness	mourning	32.55246437	31.24061803	-1.311846343	sadness	1				
sadness	dark	32.16853892	30.87989035	-1.288648568	sadness	1				
sadness	heartbreaking	8.154174972	6.874222311	-1.279952661	sadness	1				
sadness	sepulchral	8.141638313	6.865548394	-1.27608992	sadness	1				
sadness	funereal	6.712493331	5.443475402	-1.269017929	sadness	1				
sadness	penitential	11.09050568	9.832535282	-1.257970394	sadness	1				
sadness	forlorn	8.335244427	7.117447227	-1.2177972	sadness	1				
sadness	grieving	12.8787419	11.68776963	-1.190972274	sadness	1				
sadness	blues	37.24058392	36.07929239	-1.161291532	sadness	1				
sadness	blue	32.31790003	31.16118655	-1.156713481	sadness	1				
sadness	lamenting	11.00747943	9.863955074	-1.143524352	sadness	1				
sadness	doleful	5.706042325	4.579251838	-1.126790487	sadness	1				
sadness	miserable	18.70696127	17.5978762	-1.109085071	sadness	1				
sadness	grieve	11.14987281	10.05691698	-1.092955837	sadness	1				
general-dislike	unloved	6.139344255	5.06227309	-1.077071165	sadness	0				
sadness	dejected	6.975780279	5.900191291	-1.075588988	sadness	1				
sadness	sorrowing	5.946839294	4.902949645	-1.043889649	sadness	1				
sadness	grief	30.12615676	29.12088898	-1.005267779	sadness	1				
sadness	bare	28.17352576	27.17349792	-1.000027834	sadness	1				
sadness	grim	21.93753574	20.95400717	-0.983528569	sadness	1				
sadness	dolor	7.239031464	6.2853429	-0.953688563	sadness	1				
sadness	repentance	23.0255616	22.07800975	-0.94755185	sadness	1				
