categ,word,vec1_distance,vec2_distance
liking,fondness,21.0770554798,22.4079106429
liking,friendly,28.820886731,31.1076189185
liking,amicable,17.2919727457,19.7990322687
liking,friendliness,9.44676093676,11.7393860544
liking,pleasing,19.5362392915,21.6513098375
liking,admire,18.102832625,18.2055860643
liking,estimable,7.7804288699,9.31899242213
liking,admiration,31.5457131063,32.318017855
liking,admirable,16.0391423078,17.7063609418
liking,admirably,9.61387206216,11.2368134576
liking,captivation,7.88242450109,9.30392738283
liking,loving,26.0381579064,25.2967977134
liking,capture,33.5995867358,35.0945313243
liking,enchanted,26.511034131,27.1700254736
liking,beguiled,8.33175892115,9.65485489946
liking,bewitching,7.97438016176,9.58329610236
liking,attractive,30.1795426992,33.221014033
liking,captivated,12.630243262,13.5988660458
liking,approval,34.6879776149,38.9851635903
liking,approve,27.1004050143,30.4910487358
liking,approving,16.0283563352,20.0322051448
liking,authorised,26.208549896,28.1563745214
liking,favourable,25.791684636,29.6330514175
liking,approved,36.6634220583,40.6023918325
liking,authorized,32.7188936872,34.6733672606
liking,preference,29.5424145014,31.8162474246
liking,brotherly,12.7276143964,12.3948892774
liking,brotherhood,29.6146587766,28.7289601358
liking,favorable,27.3130786606,31.8080862156
liking,amicably,13.2306966988,15.1419158619
liking,unthreatening,7.7573355204,9.21661838083
liking,favor,32.4708902199,34.9348895421
liking,favorably,21.523933608,24.7699929737
liking,affirmative,30.2927419078,32.5315424513
liking,indulgent,14.9087162079,15.7566011348
liking,weakness,26.5837381612,27.8556683252
love,devoted,38.3791926522,33.5437341233
love,devotion,30.0793568139,25.3406266166
love,dedicated,34.2239270264,28.9808916343
love,worship,35.5423895544,31.1758209225
love,loyalty,32.4536734574,30.4610616271
love,amatory,7.84704395848,9.3389056788
love,benevolent,22.2446505287,19.6786040586
love,benevolence,14.2210805607,11.565411867
love,benevolently,7.43088610357,8.88385497845
love,warmhearted,7.75397072091,8.92405612075
love,benefic,7.81873172654,9.21512916121
love,beneficed,8.0121762419,9.40836139862
love,beneficence,9.09176598926,8.4966922746
love,beneficent,8.774446238,8.46024986496
love,beneficially,7.99198365951,9.5352177101
