word,positive-emotion,negative-emotion,neutral-emotion,ambiguous-emotion
tragicomic,1.20303953587,1.17316406014,1.23261786016,1.29463831936
lovesick,1.28090123007,1.32479635764,1.43410990595,1.35073545391
wistful,1.15824459322,1.29399728385,1.37065084765,1.23468866883
sadden,1.34850047882,1.34781357097,1.47495721422,1.36044526901
tragic,1.20882921038,1.09274255935,1.29680238221,1.17739968407
tragical,1.47313901726,1.4165774752,1.48987115398,1.44006592036
sadness,1.03448517935,1.02220102572,1.18695133095,1.06408924644
melancholic,0.989213049881,1.01302476509,1.12494649431,1.08941397271
suffering,1.3809756891,1.10919960699,1.18150226552,1.34151391515
bittersweet,1.1163478784,1.22471878803,1.40374311811,1.13731402386
wretched,1.15295452365,1.02222958719,1.2822606866,1.13282402411
sadly,1.12289052696,1.0938955965,1.28924601894,1.06087818568
pensive,0.978835868638,1.10920550301,1.19711569767,1.11358165711
humiliatingly,1.51477504405,1.38581567811,1.48095319946,1.49082448377
ashamed,1.04295771452,0.922634247338,1.22147768128,1.03899744738
demeaning,1.23972249392,1.05318561933,1.24395567679,1.22204805643
embarrassed,1.06231376918,0.856883359245,1.18791397586,0.97260702903
undignified,1.16088899121,1.06131917824,1.26007236448,1.21776960792
humiliate,1.26683784196,1.09419498523,1.34570796913,1.30167197197
humility,0.985323970834,1.17315041114,1.21627279239,1.25238850446
compassion,1.02265569317,1.14394961841,1.23719471517,1.30498046683
tenderhearted,1.45348614686,1.44233789865,1.44859353928,1.51810249969
nurturant,1.32876342115,1.42030290421,1.37174874748,1.52445293796
despair,1.07956628851,0.852409166965,1.17964940406,1.06913640112
despairing,1.0956834499,0.954912599996,1.17985510578,1.15894676819
dazzling,1.04726523614,1.24008685656,1.32694663376,0.936181284131
dazzlingly,1.29118289701,1.33184930803,1.36761384397,1.1808586222
daze,1.39674880003,1.44387838826,1.60022245418,1.41082271232
impressive,1.23520936323,1.42313712306,1.40886212504,1.15420592253
ingratitude,1.12358308991,0.940854825741,1.19544212988,1.18356399794
dishonorable,1.3133866886,1.14308017977,1.28980204752,1.35381232861
disgraced,1.43245568442,1.15290271104,1.38308188769,1.45287708926
black,1.54650911037,1.44381524128,1.59118927347,1.50848439956
shamed,1.19351052033,0.986543361546,1.31909801416,1.22376307994
shame,1.17091742162,0.9472831913,1.27296149293,1.19809125117
disgracefully,1.43693236569,1.3175340836,1.4871220167,1.40952159356
discredited,1.51310242209,1.33452947212,1.39682877719,1.46232343143
dishonourable,1.28729840575,1.06523112569,1.21229611705,1.3056169204
immoral,1.19826996479,0.986382806536,1.16371107742,1.31009806346
disgraceful,1.19373017296,0.988284199452,1.24937087249,1.13878275071
sheepish,1.50835499114,1.56686394875,1.56601383415,1.54969354561
mortified,1.26122005919,1.12337248859,1.34957844809,1.20253802085
humiliated,1.20574747008,0.882378179306,1.26640066032,1.11555824874
dishonored,1.44867648407,1.30373637093,1.49808396436,1.43810169138
anxiety,1.22499767975,1.1255210014,1.18871392285,1.34251856017
bad,1.25934306996,1.13038539615,1.36411680174,1.29843566266
claustrophobic,1.20230366507,1.13797963634,1.24854319301,1.12618314725
hydrophobic,1.47692078231,1.52193240869,1.41755525506,1.6044214928
appalled,1.15487907591,0.966957374568,1.26577550344,1.08370015752
hangdog,1.46600747242,1.4532752588,1.49903586641,1.46352863013
shocked,1.16817607313,0.956480413693,1.26223373285,0.922939496639
unnerved,1.21214111828,0.990655491559,1.25623456694,1.02770480548
scared,1.19654468996,1.0168625757,1.40546919754,1.02517725192
acrophobic,1.51275207562,1.47776044606,1.49348520391,1.52172193927
hunted,1.53020202438,1.42503154235,1.58628608812,1.48864310928
numb,1.46895153196,1.41391543175,1.53549940966,1.40885391958
panicky,1.22732952893,1.09592776199,1.29051148092,1.17867805597
aghast,1.26132729699,1.10050575272,1.36630003072,1.15695535756
alarmed,1.28762235282,1.06442918959,1.28101054114,1.15149513054
fear,1.24014191673,0.961776714673,1.28295863333,1.22683146873
panicked,1.42522228646,1.11539022611,1.38866299354,1.13592384635
frightened,1.1227536372,0.830942912709,1.22263049397,0.896865910968
fearful,1.12881613101,0.867233390569,1.21728044241,1.11892632782
dismayed,1.15342259336,1.00072799913,1.24993306572,1.05044464755
fearfully,1.22980315522,1.09447691647,1.25798332018,1.1211696132
horrified,1.13336390909,0.899737646866,1.29365482155,0.968698105827
terrified,1.18840417348,0.890993166752,1.32632962955,0.97362330767
shitless,1.50405270219,1.49401458044,1.59503524552,1.46466805025
xenophobic,1.37535496971,1.13047411824,1.29008888328,1.41534918745
agoraphobic,1.31327568248,1.15769563649,1.29216254207,1.33189879345
depress,1.4319318346,1.41929844565,1.41018450407,1.45739128218
depression,1.5287450431,1.39071160406,1.40606098102,1.55425622476
misery,1.14160186669,0.979618029931,1.27644875925,1.16171860392
hapless,1.25210195979,1.04689602334,1.32282008422,1.18255494209
miserably,1.43185553434,1.30589657626,1.48903106673,1.37178099858
unhappy,1.11389212502,1.02395362152,1.18404518302,1.21577916202
miserable,1.08434603291,0.968062641232,1.20716310685,1.14042684565
bare,1.3962595715,1.37410770699,1.42875044224,1.39808356808
inhospitable,1.38830639453,1.32224998951,1.31707739809,1.42597563423
forlorn,1.21887225216,1.21211917407,1.41496490161,1.28888351319
forlornly,1.45845251378,1.52396708776,1.58994154418,1.43325354176
strict,1.33560856833,1.36149277808,1.32552574003,1.55736430127
apologetic,1.35220680718,1.28951428411,1.30934928867,1.39182491782
meekness,1.06375414972,1.07060517138,1.17027728298,1.23610110122
execrable,1.32099357924,1.14155854272,1.42298895191,1.24639796757
abominable,1.2686367649,1.16247989344,1.42877087548,1.18293740511
unlovable,1.3982313456,1.31606030912,1.3607527885,1.37564354209
hate,1.28022166869,1.14756442457,1.41522354904,1.33689692648
detestable,1.26573644407,1.14554156419,1.331358343,1.32344958589
odious,1.14595226432,1.03497025094,1.27834004224,1.22620868352
hateful,1.28176319765,1.06606930439,1.37534148271,1.24312241878
dislike,1.09061765363,0.995794255633,1.1090985565,1.2243710866
disliked,1.17857837478,1.09144263768,1.23527797537,1.24262251874
provoked,1.40461565253,1.1265239161,1.32674312563,1.26473019393
incensed,1.28244823109,0.986831413751,1.27638158089,1.15031898794
smoldering,1.49893029646,1.40388842806,1.5207841057,1.40915493204
huffy,1.49749050651,1.59974830814,1.55352604553,1.53228218209
maddened,1.27827999376,1.1279334675,1.3756664243,1.20366771901
outraged,1.24146217728,0.931052105386,1.25448923664,1.13057547781
angrily,1.31007759227,1.00714264804,1.31545707409,1.18764237645
irate,1.28574068911,1.10924372564,1.2990780297,1.21622495365
mad,1.38633832422,1.26958181275,1.50486085028,1.23911034524
smouldering,1.42178718681,1.38950431339,1.50451938105,1.41580627867
wrathful,1.27870431657,1.20994083922,1.37663725472,1.3289857349
irascible,1.05433283595,0.978436003471,1.08633525209,1.16696905832
sore,1.37795714299,1.2092281338,1.44239196229,1.31427096062
anger,1.18044291447,0.912469030525,1.19437941797,1.20526723858
infuriated,1.20387513553,0.897150556487,1.26930118708,1.10186312066
wroth,1.48658481829,1.47019628505,1.54603680248,1.49305621172
enraged,1.24555185548,0.901924767328,1.31128809304,1.12983726062
furious,1.25643440779,1.03109051477,1.33539179946,1.105872973
angered,1.29049712195,0.98645815945,1.32244850001,1.18227547466
merciful,1.09356993037,1.15235787466,1.34559366854,1.26550957986
mercifully,1.32077285624,1.22199355821,1.39561938314,1.3237131814
commiserate,1.38924706349,1.33045074915,1.42475118806,1.32103128189
commiseration,1.31133431357,1.28650431582,1.34450723975,1.30448011696
affectionate,0.923874380385,1.11763006131,1.11425880915,1.18958493473
tenderly,1.09330401577,1.13712783198,1.33375882107,1.15182867466
sentimental,1.00754274498,1.07980342285,1.15108124478,1.16605214529
tenderness,0.968426507998,1.09606641932,1.17797056103,1.07174557701
protective,1.44292571017,1.40523067366,1.44905742408,1.58523996687
tender,1.40500817551,1.43912064235,1.43508925914,1.50880955952
pessimism,1.10312186386,1.07770990613,1.09570759938,1.19402711437
discouraged,1.35583251216,1.21130602098,1.2129989948,1.44846650098
bearish,1.3391773421,1.3666726019,1.330365801,1.37494550938
pessimistically,1.50428398335,1.47633167465,1.51679037499,1.49558926912
demoralised,1.43764468632,1.15889498469,1.30965141719,1.28795044889
disheartened,1.21416667631,1.00839478011,1.23987560209,1.14520839005
intimidating,1.0962273757,0.964085293807,1.12198425727,1.13355415499
pessimistic,1.02529969963,0.98417847418,1.03684717015,1.14561305732
discourage,1.47052237143,1.35078640282,1.29645442032,1.57956210951
discouragement,1.36295939968,1.25071853858,1.28218670098,1.47720349085
dispiriting,1.38614926079,1.33934185715,1.36357264769,1.31754410582
disheartening,1.29263563854,1.29495997016,1.47823016226,1.19612957839
demoralized,1.3425433703,1.09828510472,1.28879519641,1.2109662136
daunting,1.35986822878,1.4179848124,1.43418711265,1.34487671576
demoralising,1.39988829806,1.26685621992,1.36333746485,1.38777993788
abject,1.26725731592,1.12169979223,1.24832935248,1.26673583868
abjectly,1.37355028593,1.35631273795,1.37785787089,1.37965446328
resign,1.57506770163,1.37147219513,1.36994307917,1.55769954793
resignation,1.58273565678,1.4021489478,1.37586134527,1.54804921436
resignedly,1.34938131973,1.39551792397,1.45737981744,1.39456812324
desperate,1.24336552212,1.03082271342,1.29569096027,1.2549560103
helpless,1.17618039691,0.872252363032,1.20920556069,1.13472822836
hopelessness,1.10663385602,0.91512996915,1.13079477196,1.15074333247
dim,1.21972013854,1.28705333326,1.24384185755,1.26381478848
lost,1.53149965194,1.38144413741,1.55590697513,1.42660635813
insoluble,1.41214320198,1.39081851345,1.33580273981,1.48773756276
hopelessly,1.20426717411,1.02292258626,1.18950285001,1.15148522274
bleak,1.13805236419,1.08949797225,1.21877699661,1.17783453755
embarrassingly,1.51804316687,1.44631302336,1.45073392849,1.3971367689
abashed,1.37993389612,1.3226031585,1.44561103651,1.36387372944
embarrass,1.33804654624,1.19961504472,1.41014397481,1.29794589879
embarrassing,1.17184141231,0.96381036312,1.13032441834,1.10358184286
hard,1.27252157423,1.2607692236,1.398106962,1.32499354301
unpleasant,1.03096083796,0.869928902766,0.992671258664,1.05300389921
difficult,1.29793578026,1.29175039709,1.32848682121,1.37536533858
embarrassment,1.23964987489,0.964200916954,1.11491577015,1.21485033197
awkward,1.07267589288,1.03608851106,1.06033686318,1.13569437008
conscience,1.21012546491,1.18124764629,1.24307690959,1.39091073613
insecurity,1.21681544691,1.02272354688,1.10531163551,1.29660495822
insecure,1.16043299205,1.04792521012,1.10591545285,1.28958517665
insecurely,1.58118349793,1.50953139013,1.48756778775,1.55108551588
discomfiture,1.38595258767,1.19294370442,1.35929192653,1.34848914649
upset,1.22051787147,0.99893461887,1.28860319733,1.09539462823
anxious,1.00517589955,0.966653898361,1.10204513798,1.1781308251
anxiousness,1.41094028307,1.36187771557,1.38571553085,1.41128216083
tense,1.36549587041,1.31471145167,1.34835382762,1.43770574372
edgy,1.07017323156,1.15475606444,1.24955609543,1.08124578631
jitteriness,1.33703336079,1.36874203775,1.37940115028,1.35938980163
preoccupied,1.15217043158,1.09612888195,1.22019312909,1.24086982188
obsessed,1.14305825854,1.06519050249,1.26698759444,1.18718523295
concerned,1.27016791754,1.24167336473,1.27228983754,1.39251688589
solicitous,1.14964484778,1.22785984704,1.32543812897,1.27500213264
haunted,1.39662384454,1.29768640474,1.51353323926,1.27488847736
afraid,1.11266858436,0.982651238272,1.28520978243,1.09573435766
scruple,1.30576601259,1.24177029033,1.39004602835,1.37008651582
angst,1.14148255307,1.04451681444,1.2273445642,1.17111527455
sinking,1.60538364113,1.43281916758,1.5078752589,1.48784004559
edginess,1.32668263888,1.31389048548,1.40299939281,1.28282215497
disquieted,1.42087196913,1.33747743896,1.38793015279,1.46504256726
troubled,1.23424526514,1.10021143587,1.31962855141,1.30118600206
distressing,1.08084087081,0.999024651726,1.08736229517,1.17254293306
worryingly,1.48123576667,1.38984711658,1.4518768726,1.48234844944
heavy,1.49652866759,1.39057414173,1.42383548517,1.45109254389
brood,1.57078226764,1.51114820332,1.6005738219,1.59693584382
worry,1.23126551323,1.15663818157,1.31131587608,1.24759318902
distress,1.34364889828,1.18539067349,1.27528553693,1.37105673709
painfully,1.16142592682,0.985107277198,1.09061952889,1.03823614066
solicitude,1.28138375753,1.31266549102,1.31605555107,1.43839240921
solicitously,1.42547407506,1.37025734838,1.38619239552,1.44666544381
scare,1.47321235517,1.24103819777,1.53205363401,1.34893104324
chilling,1.16799667265,1.0785702736,1.31349477604,1.1343035381
daunt,1.55615116331,1.47081737944,1.52267721757,1.52504841829
frighten,1.34438685125,1.17042350565,1.42009480142,1.28861629755
frighteningly,1.30623390424,1.24502607048,1.3299977473,1.14765006682
alarming,1.27066728805,1.1120099083,1.20969763478,1.14553708638
horrifyingly,1.30355552214,1.25201101655,1.35687531897,1.24970305916
atrocious,1.21386348871,1.01486198045,1.29300507471,1.13107906448
dreadfully,1.17191944028,1.0162276827,1.27873767341,1.11238748689
offensive,1.55759739598,1.42566925121,1.45419456079,1.4857633783
hideously,1.37465601201,1.15469580601,1.43013881656,1.21472856385
dismay,1.22100125739,1.10334627983,1.30128404571,1.19524498097
horror,1.45097106943,1.32273867057,1.52865855859,1.31992849003
hysteria,1.36280581525,1.06606223713,1.28613142171,1.21328638825
hysterically,1.21192651103,1.0246313491,1.30490718448,1.05137798196
intimidation,1.4888437447,1.18990289219,1.32651490109,1.46823897087
intimidate,1.46758703962,1.23606246043,1.40953200591,1.44558868382
intimidated,1.27122211264,1.01018788003,1.27135323786,1.13785531726
timid,0.96968092131,0.858453879271,1.04183766561,1.05146730426
alarm,1.47426395438,1.35671417475,1.45294542349,1.37141320058
anxiously,1.27970300249,1.27955177673,1.39737561184,1.24841883531
apprehension,1.1671955484,1.03998605046,1.08673035228,1.21166744646
apprehensive,1.18956145316,1.0939154728,1.2325889073,1.20915502428
bashful,1.25120767134,1.28028593838,1.38520571898,1.30001846597
shyly,1.29489084525,1.37501503288,1.46692463126,1.33278938698
mousey,1.49454871393,1.56737104554,1.53325382957,1.53670850954
timorous,1.22703606571,1.11794797589,1.2321883933,1.2907734402
coy,1.49188274767,1.47987473439,1.51874664124,1.50452696537
timidity,1.104260591,1.01701176785,1.07173763644,1.16802304984
mousy,1.34678623611,1.33029378749,1.39853289539,1.35524548525
creeps,1.33351268549,1.22606903712,1.47153457703,1.1660365473
fawn,1.40194021442,1.39347655178,1.49586816273,1.47525194102
panic,1.49522616035,1.19658527938,1.43255047753,1.32275069238
dysphoria,1.46161023709,1.35649725618,1.34678526813,1.54103090711
dysphoric,1.51129618012,1.46522054815,1.43872164832,1.63538023271
