word	positive-emotion	negative-emotion	neutral-emotion	ambiguous-emotion				
calm	0.977296702	1.058428573	1.11393507	1.104567483	0.977296702	1.058428573	1	1
calmly	1.174454704	1.064645675	1.25125785	1.105067519	1.064645675	1.105067519	0	0
reassuring	0.969879744	1.047741554	1.183099159	0.992313011	0.969879744	0.992313011	1	1
calmness	0.916418237	1.084218422	1.116390756	1.104956936	0.916418237	1.084218422	1	1
smitten	1.076349473	1.097428591	1.293575861	1.120686123	1.076349473	1.097428591	1	1
doting	1.241171569	1.246060713	1.384802007	1.383844906	1.241171569	1.246060713	1	1
charmed	1.26336675	1.293166315	1.508818529	1.286831106	1.26336675	1.286831106	1	1
fondly	1.252474768	1.356880418	1.413719845	1.266540133	1.252474768	1.266540133	1	1
loverly	1.368858165	1.470821471	1.570723887	1.382364872	1.368858165	1.382364872	1	1
uxorious	1.448321263	1.468775938	1.555533392	1.618391988	1.448321263	1.468775938	1	1
idolatrous	1.377189916	1.293410513	1.455758998	1.418067269	1.293410513	1.377189916	0	1
infatuated	1.111171761	1.124927736	1.271179524	1.216903333	1.111171761	1.124927736	1	1
attached	1.473655597	1.567394875	1.48640992	1.57312739	1.473655597	1.48640992	1	1
fond	1.04037549	1.181210462	1.322719855	1.196878971	1.04037549	1.181210462	1	1
enamored	1.081217581	1.157324522	1.33034111	1.153117532	1.081217581	1.153117532	1	1
romantic	1.161449952	1.269357855	1.322721335	1.319066992	1.161449952	1.269357855	1	1
lovesome	1.452859992	1.523915721	1.560813066	1.451137577	1.451137577	1.452859992	0	1
amorous	1.114296199	1.148438431	1.276227051	1.237170204	1.114296199	1.148438431	1	1
potty	1.337361595	1.341104986	1.385002914	1.339536687	1.337361595	1.339536687	1	1
love	1.116896417	1.240984652	1.454351549	1.270233396	1.116896417	1.240984652	1	1
adorably	1.299551337	1.320662056	1.479596052	1.312267979	1.299551337	1.312267979	1	1
unintimidated	1.33973366	1.303823712	1.348571068	1.385129274	1.303823712	1.33973366	0	1
fearlessness	1.060052395	1.07549894	1.200230297	1.135193734	1.060052395	1.07549894	1	1
unflinching	1.20806504	1.196718614	1.265674698	1.263849622	1.196718614	1.20806504	0	1
fearlessly	1.17577207	1.156814134	1.245621728	1.168943844	1.156814134	1.168943844	0	0
unafraid	1.026409138	1.041035799	1.172460699	1.044205969	1.026409138	1.041035799	1	1
unblinking	1.467052578	1.460376625	1.468116696	1.47835418	1.460376625	1.467052578	0	1
overjoyed	1.112199895	1.174933071	1.401937874	1.111947433	1.111947433	1.112199895	0	1
gladden	1.555755859	1.569054393	1.646535581	1.520848684	1.520848684	1.555755859	0	1
gleefully	1.155483389	1.042265689	1.34335967	1.083786838	1.042265689	1.083786838	0	0
joy	1.146458185	1.320983076	1.445239476	1.232049601	1.146458185	1.232049601	1	1
joyful	0.960130105	1.196381285	1.320871618	1.119621551	0.960130105	1.119621551	1	1
beatific	1.290004003	1.350940345	1.363112642	1.332568072	1.290004003	1.332568072	1	1
tickling	1.224138852	1.160530368	1.244941953	1.224439995	1.160530368	1.224138852	0	1
electrifying	1.236204569	1.380619292	1.405619359	1.116080765	1.116080765	1.236204569	0	1
evangelical	1.50452183	1.586653538	1.522988078	1.628623972	1.50452183	1.522988078	1	1
galvanising	1.506615963	1.4809675	1.555290431	1.472016251	1.472016251	1.4809675	0	0
galvanic	1.591430898	1.588186822	1.574746882	1.635326311	1.574746882	1.588186822	0	0
breathtaking	1.079794297	1.290291468	1.299249786	1.039424105	1.039424105	1.079794297	0	1
ardent	1.176950016	1.252535871	1.230319095	1.344169322	1.176950016	1.230319095	1	1
tingling	1.372018381	1.28287905	1.347255728	1.279853754	1.279853754	1.28287905	0	0
wild	1.423554662	1.447594075	1.602484449	1.397434351	1.397434351	1.423554662	0	1
glamourous	1.45676742	1.480773658	1.578093128	1.449665792	1.449665792	1.45676742	0	1
electric	1.626088679	1.720888835	1.619331607	1.600792511	1.600792511	1.619331607	0	0
gaga	1.437130499	1.504204559	1.594179107	1.455337544	1.437130499	1.455337544	1	1
dotty	1.404542482	1.356029485	1.441869291	1.373774035	1.356029485	1.373774035	0	0
zealous	1.228859371	1.122797486	1.261250376	1.371988921	1.122797486	1.228859371	0	1
warm	1.211302518	1.393491505	1.359280304	1.38478929	1.211302518	1.359280304	1	1
glamorous	1.11004627	1.222025059	1.285471348	1.199197037	1.11004627	1.199197037	1	1
heady	1.254943463	1.324242554	1.454268364	1.175394302	1.175394302	1.254943463	0	1
breathless	1.221771426	1.274430435	1.407935711	1.114825682	1.114825682	1.221771426	0	1
intoxicating	1.283776223	1.350175215	1.375247502	1.396695465	1.283776223	1.350175215	1	1
thrilling	1.202346384	1.304175686	1.410238732	0.996295755	0.996295755	1.202346384	0	1
evangelistic	1.466118311	1.57555856	1.606843956	1.560835322	1.466118311	1.560835322	1	1
glowing	1.229881456	1.327032807	1.411781021	1.096820095	1.096820095	1.229881456	0	1
crazy	1.336458644	1.32784334	1.551935029	1.262168196	1.262168196	1.32784334	0	0
enthusiasm	1.106379615	1.250626358	1.270155874	1.171504704	1.106379615	1.171504704	1	1
galvanizing	1.536795805	1.51831086	1.54042086	1.539009131	1.51831086	1.536795805	0	1
like	1.162214064	1.259819447	1.357282827	1.188860065	1.162214064	1.188860065	1	1
liked	1.112808502	1.261826977	1.400696762	1.150964264	1.112808502	1.150964264	1	1
liking	1.088258156	1.214818805	1.260593785	1.198889853	1.088258156	1.198889853	1	1
likable	0.969224113	1.095539632	1.198498652	1.022711701	0.969224113	1.022711701	1	1
affectional	1.355991395	1.418266069	1.364485504	1.478649506	1.355991395	1.364485504	1	1
emotional	1.056718495	1.094176391	1.178618248	1.196995393	1.056718495	1.094176391	1	1
affection	0.937739695	1.117643438	1.145741107	1.197950309	0.937739695	1.117643438	1	1
affect	1.464734228	1.476465689	1.432036772	1.5092596	1.432036772	1.464734228	0	1
gratitude	1.126060063	1.283218128	1.386376013	1.329369434	1.126060063	1.283218128	1	1
glad	1.114010642	1.188588181	1.444780514	1.15131273	1.114010642	1.15131273	1	1
appreciatively	1.399771992	1.379686835	1.405620149	1.354916216	1.354916216	1.379686835	0	0
appreciative	1.06211355	1.292027245	1.233323887	1.166207254	1.06211355	1.166207254	1	1
grateful	1.296050178	1.484708181	1.602147048	1.415514387	1.296050178	1.415514387	1	1
levity	1.077808131	1.103226063	1.15820702	1.106531744	1.077808131	1.103226063	1	1
upbeat	1.042402803	1.226089392	1.258200801	1.173680798	1.042402803	1.173680798	1	1
optimistically	1.476379969	1.442758487	1.487443716	1.439511877	1.439511877	1.442758487	0	0
bullish	1.393267115	1.408385637	1.375971852	1.410274649	1.375971852	1.393267115	0	1
rosy	1.399166502	1.420886034	1.46270379	1.435525314	1.399166502	1.420886034	1	1
