word	positive-emotion	negative-emotion	neutral-emotion	ambiguous-emotion	r			10	
buoyancy	1.473528041	1.522202384	1.416740761	1.560533962	31.15659063	1.416740761	0	1	0
happiness	1.077095539	1.305201614	1.296283507	1.350883548	31.96375752	1.077095539	1	1	1
breathless	1.221771426	1.274430435	1.407935711	1.114825682	9.550654466	1.114825682	0	0	0
brotherhood	1.519430352	1.530456998	1.633202314	1.601784469	29.17724902	1.519430352	1	1	1
stylish	1.072880367	1.267854618	1.308585705	1.14126489	18.08758842	1.072880367	1	1	1
sublime	1.111012469	1.252575997	1.24688292	1.17045275	21.81346145	1.111012469	1	1	1
emotional	1.056718495	1.094176391	1.178618248	1.196995393	35.15914971	1.056718495	1	1	1
exuberantly	1.302314315	1.421592044	1.477882622	1.24310941	2.409068147	1.24310941	0	0	0
still	1.465647056	1.488350439	1.454086393	1.529903982	31.84668678	1.454086393	0	1	0
cold	1.408003548	1.357740831	1.477967776	1.45574503	35.69909626	1.357740831	0	1	0
bewitching	1.206807017	1.243050783	1.429237105	1.205618254	3.866573135	1.205618254	0	0	0
joyous	0.952387528	1.123059915	1.300222195	1.037116625	13.3887135	0.952387528	1	1	1
worship	1.414061388	1.556262673	1.516851531	1.621483565	35.53729183	1.414061388	1	1	1
affection	0.937739695	1.117643438	1.145741107	1.197950309	32.67397375	0.937739695	1	1	1
admirable	0.963584581	1.175551554	1.156012073	1.063154264	18.12639087	0.963584581	1	1	1
blessed	1.26996986	1.422813386	1.541841035	1.356009845	30.22525089	1.26996986	1	1	1
estimable	1.502722812	1.554986436	1.546184617	1.484789519	1.703152333	1.484789519	0	0	0
appreciatively	1.399771992	1.379686835	1.405620149	1.354916216	1.623847823	1.354916216	0	0	0
authorized	1.635926629	1.685992755	1.684892346	1.693394736	34.07451934	1.635926629	1	1	1
assuring	1.230365248	1.362802914	1.439611616	1.382157395	14.71978931	1.230365248	1	1	1
galvanising	1.506615963	1.4809675	1.555290431	1.472016251	2.061745999	1.472016251	0	0	0
comfortably	1.366558145	1.443818414	1.440879539	1.384828883	18.15882095	1.366558145	1	1	1
likable	0.969224113	1.095539632	1.198498652	1.022711701	9.653564502	0.969224113	1	0	0
adorably	1.299551337	1.320662056	1.479596052	1.312267979	1.237985113	1.299551337	1	0	0
upbeat	1.042402803	1.226089392	1.258200801	1.173680798	20.24317625	1.042402803	1	1	1
reassured	1.199288553	1.173145126	1.37892785	1.114693622	11.82717306	1.114693622	0	1	0
loving	0.994369144	1.187210756	1.321345516	1.274899455	27.22624736	0.994369144	1	1	1
satisfactory	1.278798377	1.42458394	1.288210853	1.402034608	23.4926573	1.278798377	1	1	1
amatory	1.323801368	1.35596364	1.322905547	1.374818058	2.302099197	1.322905547	0	0	0
like	1.162214064	1.259819447	1.357282827	1.188860065	31.15792943	1.162214064	1	1	1
preference	1.374337617	1.471204143	1.317446703	1.620743219	31.81085908	1.317446703	0	1	0
hilarity	1.12617054	1.142283643	1.187332443	1.094365458	3.512905308	1.094365458	0	0	0
closeness	1.20482662	1.318477301	1.210957521	1.394609408	18.06008791	1.20482662	1	1	1
lighthearted	1.120122116	1.197724542	1.265866841	1.167840234	10.74519752	1.120122116	1	1	1
ok	1.440830551	1.495978697	1.598206537	1.403180992	27.92310498	1.403180992	0	1	0
excited	1.130339248	1.199244719	1.243739437	1.123149303	32.236663	1.123149303	0	1	0
glad	1.114010642	1.188588181	1.444780514	1.15131273	23.32932247	1.114010642	1	1	1
humourous	1.509425957	1.549806922	1.596070125	1.456468771	1.112001299	1.456468771	0	0	0
high	1.493317818	1.572417229	1.505982715	1.541150836	37.29853944	1.493317818	1	1	1
dear	1.129888618	1.292703171	1.42959949	1.259570453	29.0073456	1.129888618	1	1	1
ardor	1.130400655	1.130946333	1.218370884	1.231315335	5.379117569	1.130400655	1	0	0
reassure	1.249768968	1.245179511	1.33254548	1.323664495	12.8233538	1.245179511	0	1	0
warm	1.211302518	1.393491505	1.359280304	1.38478929	32.59217554	1.211302518	1	1	1
cheery	0.993140637	1.132069135	1.273439563	1.095341264	6.501603505	0.993140637	1	0	0
thick	1.437020194	1.444073498	1.467293455	1.447175078	32.89005803	1.437020194	1	1	1
evangelistic	1.466118311	1.57555856	1.606843956	1.560835322	13.88469316	1.466118311	1	1	1
devoted	1.35816163	1.514719127	1.444876193	1.50321117	38.47489494	1.35816163	1	1	1
wild	1.423554662	1.447594075	1.602484449	1.397434351	32.02025683	1.397434351	0	1	0
hortative	1.504720473	1.549265712	1.490917194	1.525568336	1.036783247	1.490917194	0	0	0
cheerful	0.787889062	1.014372159	1.043244909	1.003064563	20.62899054	0.787889062	1	1	1
beatific	1.290004003	1.350940345	1.363112642	1.332568072	5.813370667	1.290004003	1	0	0
thankful	1.097165949	1.194913848	1.392448988	1.192562143	9.435163495	1.097165949	1	0	0
delight	0.908496447	1.10932022	1.237236328	0.928807398	23.99399424	0.908496447	1	1	1
reassuringly	1.456050129	1.491547474	1.479235465	1.435318283	1.485389263	1.435318283	0	0	0
cheerfully	1.039671239	1.037612999	1.265297311	1.024688043	7.998053615	1.024688043	0	0	0
comforted	1.030159091	1.00701724	1.272416691	1.075399024	8.935730995	1.00701724	0	0	0
unthreatening	1.273480123	1.339345297	1.346854446	1.319061711	1.9828387	1.273480123	1	0	0
amicable	1.310758678	1.409909947	1.368663269	1.503440314	18.3610621	1.310758678	1	1	1
smug	1.088353184	1.025206453	1.221271787	1.136190669	5.540075839	1.025206453	0	0	0
gaga	1.437130499	1.504204559	1.594179107	1.455337544	23.57635012	1.437130499	1	1	1
authorised	1.605021548	1.625920414	1.596344808	1.621151297	27.13534975	1.596344808	0	1	0
gladness	1.100083104	1.281358776	1.419537551	1.199264199	4.993504067	1.100083104	1	0	0
potty	1.337361595	1.341104986	1.385002914	1.339536687	7.1440797	1.337361595	1	0	0
exhilarating	1.024227079	1.228051914	1.252232364	0.9794508	9.717036884	0.9794508	0	0	0
chirpy	1.325014083	1.369899467	1.439257633	1.308969764	3.143140866	1.308969764	0	0	0
beneficially	1.477175665	1.459183912	1.49062449	1.552735832	2.408417833	1.459183912	0	0	0
precooled	1.570897535	1.598712556	1.673890306	1.560711149	2.623929222	1.560711149	0	0	0
enthusiasm	1.106379615	1.250626358	1.270155874	1.171504704	32.14410659	1.106379615	1	1	1
passable	1.388281996	1.392510328	1.425234935	1.394981729	9.280884241	1.388281996	1	0	0
pleased	0.97152199	1.148374389	1.331133538	1.055079136	30.6688718	0.97152199	1	1	1
contented	1.050300001	1.111373169	1.209216615	1.228062727	9.325816063	1.050300001	1	0	0
reassuring	0.969879744	1.047741554	1.183099159	0.992313011	8.17434652	0.969879744	1	0	0
certain	1.368187425	1.422529157	1.361229968	1.507600469	31.94071315	1.361229968	0	1	0
easiness	1.30751342	1.321397183	1.329997088	1.381293975	2.153177983	1.30751342	1	0	0
cool	1.193033811	1.371132652	1.441806054	1.297467691	28.66392509	1.193033811	1	1	1
levity	1.077808131	1.103226063	1.15820702	1.106531744	4.657950178	1.077808131	1	0	0
prideful	1.09062757	1.052073839	1.244776483	1.196925271	3.857447051	1.052073839	0	0	0
weakness	1.291171434	1.104927782	1.199275553	1.26887693	27.60351657	1.104927782	0	1	0
sure	1.200708794	1.318476427	1.443578067	1.224332623	33.15013888	1.200708794	1	1	1
caller	1.57367008	1.591677034	1.533476642	1.560812338	27.43004464	1.533476642	0	1	0
joyful	0.960130105	1.196381285	1.320871618	1.119621551	16.36502041	0.960130105	1	1	1
jubilant	1.255782189	1.251215708	1.38912765	1.182240244	6.392705766	1.182240244	0	0	0
debonair	1.110517613	1.239368086	1.329925933	1.16729665	5.162629947	1.110517613	1	0	0
protectively	1.508607963	1.446892126	1.476761593	1.501103939	2.317002371	1.446892126	0	0	0
satisfied	1.12234439	1.263223953	1.286795806	1.236628351	29.12112403	1.12234439	1	1	1
gladdened	1.400607281	1.429581878	1.533387276	1.383216415	1.34591731	1.383216415	0	0	0
smitten	1.076349473	1.097428591	1.293575861	1.120686123	13.09807748	1.076349473	1	1	1
euphoriant	1.44142697	1.446371783	1.464976788	1.489336878	1.964304952	1.44142697	1	0	0
exultantly	1.313424131	1.394654501	1.459001191	1.395067219	1.086820092	1.313424131	1	0	0
twinkly	1.430252837	1.481338656	1.568984904	1.412138644	1.429728295	1.412138644	0	0	0
complacent	1.082854581	0.922747558	1.119410395	1.164620976	7.186477097	0.922747558	0	0	0
tranquilly	1.479253729	1.503358491	1.593408995	1.527606879	1.560584694	1.479253729	1	0	0
gladsome	1.338122479	1.405433781	1.454647517	1.343044187	1.364778975	1.338122479	1	0	0
chummy	1.334363583	1.385918221	1.439543382	1.373252265	2.772100633	1.334363583	1	0	0
attachment	1.317955242	1.409964442	1.316468612	1.57891381	28.80399043	1.316468612	0	1	0
appreciated	1.027050555	1.256379458	1.284614171	1.067083503	27.73489402	1.027050555	1	1	1
tickle	1.230578912	1.206397798	1.332016448	1.201669979	9.958206799	1.201669979	0	0	0
euphoric	1.153454916	1.120625294	1.190574441	1.206481617	7.7499489	1.120625294	0	0	0
intoxicating	1.283776223	1.350175215	1.375247502	1.396695465	11.05728524	1.283776223	1	1	1
evangelical	1.50452183	1.586653538	1.522988078	1.628623972	29.06371772	1.50452183	1	1	1
cheerfulness	0.984466524	1.093384975	1.230326322	1.151091096	4.297035872	0.984466524	1	0	0
good	0.936459826	1.190398369	1.273491866	1.226359851	32.18306829	0.936459826	1	1	1
admire	0.973489034	1.16739481	1.302161909	1.022741651	19.56809947	0.973489034	1	1	1
galvanizing	1.536795805	1.51831086	1.54042086	1.539009131	5.382387879	1.51831086	0	0	0
bonheur	1.364642632	1.483640776	1.477470247	1.483155913	11.03440638	1.364642632	1	1	1
peace	1.378678767	1.442652685	1.472265732	1.577012779	38.47825506	1.378678767	1	1	1
comforting	0.913372741	0.985037015	1.185485814	1.065120226	8.374038212	0.913372741	1	0	0
benevolently	1.146138152	1.165002477	1.184375131	1.300071211	2.676347482	1.146138152	1	0	0
humorous	1.195108704	1.247255248	1.292928324	1.200657476	31.11106188	1.195108704	1	1	1
captivated	1.067559624	1.194006827	1.350212097	1.012417236	12.4750333	1.012417236	0	1	0
dotty	1.404542482	1.356029485	1.441869291	1.373774035	4.820982121	1.356029485	0	0	0
exuberance	1.027798048	1.10841449	1.218719614	1.030232438	9.251473621	1.027798048	1	0	0
confidence	1.270774009	1.323340252	1.315029902	1.359313131	37.78038451	1.270774009	1	1	1
beguiled	1.299115835	1.22644426	1.46306863	1.291295705	3.878644721	1.22644426	0	0	0
carefree	1.012320212	1.10529751	1.200476902	1.194292423	13.06091016	1.012320212	1	1	1
appreciative	1.06211355	1.292027245	1.233323887	1.166207254	13.23537502	1.06211355	1	1	1
tingling	1.372018381	1.28287905	1.347255728	1.279853754	11.25706125	1.279853754	0	1	0
satisfaction	1.185982961	1.360962658	1.237716523	1.396981844	29.77151491	1.185982961	1	1	1
attractive	1.095856265	1.315039117	1.241963692	1.313015896	32.97243353	1.095856265	1	1	1
